Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
DRC13,6.378224941122317,Low Fat,0.07861884978788675,Breakfast,44.454548352820424,OUT010,1998,,Tier 3,Grocery Store,278.94748978447154
FDA69,18.601341441083452,low fat,0.11084999820123022,Household,141.45247175595256,OUT049,1999,Medium,Tier 1,Supermarket Type1,2577.0180710753853
DRC18,16.323575412263985,Regular,0.10071747315287734,Meat,40.16456616188623,OUT019,1985,Small,Tier 1,Grocery Store,253.33289132792592
DRC62,14.27604649987826,Low Fat,0.2269590413649749,Breads,114.61815205291194,OUT049,1999,Medium,Tier 1,Supermarket Type1,2133.1464060081416
DRC93,7.7178087044601815,Low Fat,0.04029729113507107,Others,116.73566712586756,OUT013,1987,High,Tier 3,Supermarket Type1,1712.232996512843
NCB69,14.756864410299809,Low Fat,0.009054050929971432,Baking Goods,225.223988219636,OUT049,1999,Medium,Tier 1,Supermarket Type1,3294.6449413390183
NCB17,5.032470348776716,Regular,0.06337511036712917,Soft Drinks,204.52725951550207,OUT019,1985,Small,Tier 1,Grocery Store,1420.9059679059246
FDN87,6.52026528469731,Regular,0.0044025776255275885,Snack Foods,242.67872499406076,OUT018,2009,Medium,Tier 3,Supermarket Type2,4321.249389147821
FDA45,9.802132546675217,LF,0.21788942044644027,Starchy Foods,64.16213698326843,OUT013,1987,High,Tier 3,Supermarket Type1,790.8714859240507
DRC13,12.043550715989793,reg,0.08526136512540593,Others,156.96838812509617,OUT013,1987,High,Tier 3,Supermarket Type1,2292.6645640046713
DRC15,,Low Fat,0.24153954827296908,Breads,35.76495037088015,OUT046,1997,Small,Tier 1,Supermarket Type1,442.3605534160753
DRC13,6.538983125578109,Regular,0.028416895666139478,Snack Foods,225.82319258530643,OUT013,1987,High,Tier 3,Supermarket Type1,4357.8605589855815
FDB72,16.840192229921804,Regular,0.0009553675500825382,Soft Drinks,117.51294826877074,OUT010,1998,,Tier 3,Grocery Store,758.0407894521394
DRC53,14.185229911069255,Low Fat,0.044199579734856956,Others,47.35636859260113,OUT013,1987,High,Tier 3,Supermarket Type1,625.940133597221
DRC83,,Regular,0.007750734170822286,Baking Goods,107.61910731043731,OUT027,1985,Medium,Tier 3,Supermarket Type3,3213.7397378682617
NCB23,12.191386416998348,Low Fat,0.06829629069790766,Fruits and Vegetables,98.71132944007556,OUT027,1985,Medium,Tier 3,Supermarket Type3,3908.10598644252
NCB71,21.101232807857585,Low Fat,0.041295718949513185,Snack Foods,211.77628337080327,OUT013,1987,High,Tier 3,Supermarket Type1,3351.5801566051086
FDB89,5.346604809204405,Low Fat,0.08401069212483092,Frozen Foods,60.880295565063236,OUT019,1985,Small,Tier 1,Grocery Store,271.3020086257693
FDB91,7.570661994746816,Regular,0.02063980711554335,Health and Hygiene,162.1629759772787,OUT018,2009,Medium,Tier 3,Supermarket Type2,3344.391985738401
FDB33,15.507631875821035,Regular,0.10602362423928582,Breads,218.3649281078317,OUT010,1998,,Tier 3,Grocery Store,1258.7740078610643
DRC98,6.8182161154711025,Regular,0.06313015755446272,Hard Drinks,205.53099149199818,OUT019,1985,Small,Tier 1,Grocery Store,676.9543515384029
NCB69,14.519475946155955,Regular,0.26393680861037,Dairy,251.8736080524709,OUT019,1985,Small,Tier 1,Grocery Store,1446.300331002373
NCB50,14.15194083317836,Low Fat,0.011801566127154564,Household,31.14862109236398,OUT010,1998,,Tier 3,Grocery Store,269.09425306633943
FDB24,21.007088121873913,Low Fat,0.003151711987187239,Breakfast,114.49716224225182,OUT027,1985,Medium,Tier 3,Supermarket Type3,4598.0550290755655
FDB74,19.51757027983338,Low Fat,0.0,Starchy Foods,118.22171759803018,OUT018,2009,Medium,Tier 3,Supermarket Type2,2160.017957038862
FDA80,20.574406844046695,Low Fat,0.024790299404561476,Soft Drinks,38.86078496752581,OUT018,2009,Medium,Tier 3,Supermarket Type2,738.5049446409184
FDA97,6.431240281057653,reg,0.03385847494698105,Fruits and Vegetables,223.8749190613896,OUT019,1985,Small,Tier 1,Grocery Store,1188.7600785380919
FDA17,19.25852343332121,Regular,0.15595303575347713,Frozen Foods,193.5781989193635,OUT018,2009,Medium,Tier 3,Supermarket Type2,2963.7907877544794
FDN90,6.694541249381201,Low Fat,0.03486381461646763,Canned,155.6274441496878,OUT045,2002,,Tier 2,Supermarket Type1,1855.0852393444802
FDN44,15.259847035247812,Low Fat,0.021230942974916275,Household,126.58446909239575,OUT046,1997,Small,Tier 1,Supermarket Type1,1743.7642438353841
FDA14,,Regular,0.0036803303879235365,Frozen Foods,242.31810348573748,OUT019,1985,Small,Tier 1,Grocery Store,1813.2689112476098
DRC50,7.234509468537859,Regular,0.03510443745516358,Others,93.41379251317684,OUT045,2002,,Tier 2,Supermarket Type1,1584.8605901785277
NCB16,15.255209390802175,Regular,0.06384422203870667,Health and Hygiene,109.95179177711302,OUT013,1987,High,Tier 3,Supermarket Type1,2356.484776070515
FDA81,5.391828379503899,Low Fat,0.0,Seafood,255.8210226621058,OUT046,1997,Small,Tier 1,Supermarket Type1,2587.4341138389827
NCB43,9.485523457628114,Regular,0.07590397408789482,Health and Hygiene,46.251505528988176,OUT013,1987,High,Tier 3,Supermarket Type1,807.447128988262
FDA57,20.159694396879985,Low Fat,0.03903560799324564,Dairy,215.22450203742832,OUT035,2004,Small,Tier 2,Supermarket Type1,5464.594383239243
FDB53,,LF,0.11716104511538844,Starchy Foods,200.46209821143447,OUT046,1997,Small,Tier 1,Supermarket Type1,3522.64179307095
FDN44,5.609589871655567,Low Fat,0.01058543691928269,Snack Foods,243.84566904370922,OUT013,1987,High,Tier 3,Supermarket Type1,4760.222335153769
FDA56,12.04252939414281,Low Fat,0.08490130330541133,Baking Goods,52.37294516801511,OUT017,2007,,Tier 2,Supermarket Type1,774.2556743233694
FDN10,,Regular,0.1617844139320128,Soft Drinks,260.0247761700462,OUT019,1985,Small,Tier 1,Grocery Store,1429.5534749624228
FDB23,5.8034304934609295,Low Fat,0.08114788991177493,Snack Foods,37.80575250781509,OUT035,2004,Small,Tier 2,Supermarket Type1,640.3245892213147
FDN18,10.544101208916945,Regular,0.031246227511367988,Meat,110.69801224093376,OUT045,2002,,Tier 2,Supermarket Type1,1828.9580710768764
DRC51,19.796172187508546,Low Fat,0.01571741067011314,Fruits and Vegetables,51.019057356907595,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.6471617559675
NCB86,6.508644349055723,Low Fat,0.006212890649325887,Starchy Foods,43.077581928085216,OUT045,2002,,Tier 2,Supermarket Type1,822.4984640468849
FDN72,9.781364600503093,LF,0.06169533008650572,Seafood,258.67417327318185,OUT046,1997,Small,Tier 1,Supermarket Type1,2747.43424228051
FDA61,,Low Fat,0.009248842882069907,Seafood,200.84170727388684,OUT035,2004,Small,Tier 2,Supermarket Type1,4983.483086170151
FDB13,,Low Fat,0.10932224079165735,Hard Drinks,150.34280359116838,OUT049,1999,Medium,Tier 1,Supermarket Type1,2496.5822232201654
FDB32,18.64966339077091,Low Fat,0.0,Baking Goods,56.53262211453581,OUT027,1985,Medium,Tier 3,Supermarket Type3,1634.4954807568497
FDB24,,reg,0.008756311996774178,Meat,155.14152641763917,OUT027,1985,Medium,Tier 3,Supermarket Type3,5207.722572136709
FDN38,,Regular,0.028301386315094556,Dairy,106.53232344849343,OUT046,1997,Small,Tier 1,Supermarket Type1,1501.862182458648
NCB22,20.39350050675855,low fat,0.166136942485775,Health and Hygiene,95.09459746068597,OUT017,2007,,Tier 2,Supermarket Type1,1380.9275541682853
FDN95,7.1403213424940075,LF,0.038172513432718255,Dairy,176.87243713536773,OUT027,1985,Medium,Tier 3,Supermarket Type3,6318.530290430389
NCB75,,Regular,0.045996781127478764,Baking Goods,217.6583517008305,OUT045,2002,,Tier 2,Supermarket Type1,4599.923441812468
DRC54,21.32730349324467,Low Fat,0.0,Fruits and Vegetables,135.60908093597772,OUT046,1997,Small,Tier 1,Supermarket Type1,3034.972412057628
FDA15,,LF,0.01418386591534289,Snack Foods,147.41845866441747,OUT045,2002,,Tier 2,Supermarket Type1,2900.4243477091977
NCB37,14.225281868602332,Low Fat,0.23222140579910108,Breakfast,184.737190123331,OUT019,1985,Small,Tier 1,Grocery Store,910.90932270858
NCB53,,LF,0.0910891121190031,Starchy Foods,60.41457806659132,OUT027,1985,Medium,Tier 3,Supermarket Type3,2226.8877276216026
NCB39,17.924363867268546,Regular,0.010559381352914187,Frozen Foods,226.55118172895956,OUT019,1985,Small,Tier 1,Grocery Store,1077.1477714486748
FDN98,18.303795473780603,Regular,0.007064178663771756,Meat,228.51752269264972,OUT049,1999,Medium,Tier 1,Supermarket Type1,4207.398412803753
FDA10,7.796728813436156,Low Fat,0.1639598434037793,Snack Foods,158.68700089528514,OUT046,1997,Small,Tier 1,Supermarket Type1,3131.517834003652
FDA36,8.522824590769952,Regular,0.06931625385770908,Dairy,75.26417985960822,OUT046,1997,Small,Tier 1,Supermarket Type1,1641.2568164574802
FDA86,19.406161492088323,Regular,0.00235984305429529,Seafood,149.18020341001875,OUT045,2002,,Tier 2,Supermarket Type1,2805.280207762119
FDA12,18.431799280759968,Low Fat,0.009188177106616346,Soft Drinks,56.001670511126164,OUT017,2007,,Tier 2,Supermarket Type1,931.4872788244359
FDN18,14.999529486417241,low fat,0.002940653760963546,Breakfast,211.13632142502098,OUT017,2007,,Tier 2,Supermarket Type1,3997.844609775391
FDB60,21.409885705122445,Regular,0.2191683746237347,Health and Hygiene,104.4323184933066,OUT018,2009,Medium,Tier 3,Supermarket Type2,1709.9232549940627
DRC53,16.998127040372502,Low Fat,0.041331491392934336,Frozen Foods,104.41833813111721,OUT045,2002,,Tier 2,Supermarket Type1,1764.478364840216
FDN41,8.16922505821423,Regular,0.037210359911013034,Others,254.03151960877867,OUT017,2007,,Tier 2,Supermarket Type1,5297.689133728387
FDA61,18.89294909365553,Regular,0.18711301212371118,Snack Foods,130.55863192177014,OUT046,1997,Small,Tier 1,Supermarket Type1,2557.4828734719904
FDA71,11.55045481829238,reg,0.04214774543821021,Hard Drinks,217.33976981340066,OUT018,2009,Medium,Tier 3,Supermarket Type2,3762.4862812296556
FDA67,5.114595229201916,Regular,0.04375816067800923,Health and Hygiene,181.3703931073289,OUT019,1985,Small,Tier 1,Grocery Store,1041.4854421122855
NCB21,9.964161722798401,Low Fat,0.2484754668130558,Soft Drinks,105.61746629722703,OUT046,1997,Small,Tier 1,Supermarket Type1,1673.3112155948886
DRC12,17.48037097900955,Low Fat,0.00708866068568182,Others,60.214619465575524,OUT018,2009,Medium,Tier 3,Supermarket Type2,1370.0966726548747
FDA65,20.823505522170045,Low Fat,0.2550801027381982,Starchy Foods,219.26718443570635,OUT035,2004,Small,Tier 2,Supermarket Type1,4796.972197376614
FDA68,9.194319077154296,Low Fat,0.0,Soft Drinks,210.95086864245488,OUT018,2009,Medium,Tier 3,Supermarket Type2,4671.878441343374
FDA11,8.690777514965156,Regular,0.0384232046292519,Snack Foods,70.92274002119996,OUT010,1998,,Tier 3,Grocery Store,412.5127357015956
DRC63,14.081481955171101,Low Fat,0.024714379663595482,Snack Foods,89.7913478008545,OUT046,1997,Small,Tier 1,Supermarket Type1,1721.5667361904689
FDB10,18.298626294261595,Low Fat,0.18662987756766322,Baking Goods,211.8320033650855,OUT045,2002,,Tier 2,Supermarket Type1,4086.448382542578
FDN11,17.190936596736094,Regular,0.03987396929208741,Health and Hygiene,263.1368936962573,OUT035,2004,Small,Tier 2,Supermarket Type1,5177.593788869916
FDB53,14.019301343567882,Low Fat,0.0013970091352166715,Canned,230.09934364213987,OUT046,1997,Small,Tier 1,Supermarket Type1,3275.9930866734344
DRC41,15.233624587446135,Low Fat,0.015037910037907344,Household,192.45976604003678,OUT019,1985,Small,Tier 1,Grocery Store,1592.549072641571
NCB64,8.615682274547847,Regular,0.03381267457065994,Baking Goods,247.0405220420345,OUT045,2002,,Tier 2,Supermarket Type1,2318.2681843834607
FDN65,11.85376250505696,Low Fat,0.06769304709347179,Seafood,98.31561781970701,OUT010,1998,,Tier 3,Grocery Store,452.22994041518615
FDN26,8.841215650845099,Regular,0.04951889569094355,Canned,33.277919033349455,OUT010,1998,,Tier 3,Grocery Store,134.9528626263258
FDB79,19.53510557235884,Regular,0.11379092755354873,Breakfast,106.7484652092739,OUT018,2009,Medium,Tier 3,Supermarket Type2,1856.964720388519
FDN25,6.413426625213768,reg,0.10576709073265898,Fruits and Vegetables,260.3764991649185,OUT046,1997,Small,Tier 1,Supermarket Type1,4900.269920523261
FDA82,16.055589483558304,Low Fat,0.053570465270729596,Canned,239.14499796109402,OUT019,1985,Small,Tier 1,Grocery Store,1436.4116764300845
NCB68,8.924814351805399,Low Fat,0.05082196483594635,Health and Hygiene,42.884076438943985,OUT027,1985,Medium,Tier 3,Supermarket Type3,1026.6831727912236
FDB12,12.584815965213929,Regular,0.01955749827788948,Dairy,149.4621897818514,OUT035,2004,Small,Tier 2,Supermarket Type1,3049.1971971106527
NCB68,9.590017264192756,Low Fat,0.19007081154191593,Breakfast,49.6463279765999,OUT027,1985,Medium,Tier 3,Supermarket Type3,1741.9201152511703
NCB28,9.995170390011019,Low Fat,0.0047978995946171095,Seafood,217.21141450943637,OUT027,1985,Medium,Tier 3,Supermarket Type3,8250.877885287326
DRC76,,Low Fat,0.03035329580180956,Frozen Foods,118.93727546107311,OUT046,1997,Small,Tier 1,Supermarket Type1,3125.8270732018395
FDN29,17.29747966032246,Regular,0.0648762712405691,Hard Drinks,246.21904123306703,OUT046,1997,Small,Tier 1,Supermarket Type1,4202.643545476627
NCB42,10.717169572043801,reg,0.0,Soft Drinks,43.85078717049416,OUT018,2009,Medium,Tier 3,Supermarket Type2,798.1650236596862
DRC10,16.848069301139404,low fat,0.041772684677360714,Fruits and Vegetables,204.2231677196928,OUT046,1997,Small,Tier 1,Supermarket Type1,3070.065524193233
FDN66,12.253188811768217,LF,0.0,Meat,125.25032160811294,OUT017,2007,,Tier 2,Supermarket Type1,2800.4353921355264
FDA59,13.803182715704883,Low Fat,0.006642472439448252,Meat,94.30143401284283,OUT045,2002,,Tier 2,Supermarket Type1,2083.979428079545
DRC16,13.735887087129285,Regular,0.045503931721669735,Baking Goods,153.1179965954896,OUT010,1998,,Tier 3,Grocery Store,986.8527515784992
NCB25,21.08948534884101,Low Fat,0.0227922769105017,Snack Foods,145.57486071128116,OUT027,1985,Medium,Tier 3,Supermarket Type3,5138.075580481088
DRC69,,reg,0.09528899565537004,Frozen Foods,113.3193718976056,OUT018,2009,Medium,Tier 3,Supermarket Type2,1999.7278598652986
FDA11,8.030629621759159,reg,0.035326669041295396,Snack Foods,184.13014275132278,OUT035,2004,Small,Tier 2,Supermarket Type1,4675.702321416221
FDA57,20.000462986232236,low fat,0.038690283483256184,Others,187.07063451947022,OUT027,1985,Medium,Tier 3,Supermarket Type3,7906.225461538207
NCB78,7.472267918364745,LF,0.004018543371721187,Canned,49.20461142344958,OUT046,1997,Small,Tier 1,Supermarket Type1,678.4350053191108
FDB41,18.68518837935386,Regular,0.03457627990852948,Others,171.51795693873441,OUT027,1985,Medium,Tier 3,Supermarket Type3,6872.045800965927
FDN18,7.053653222937738,Regular,0.005056966344009992,Breakfast,198.73349026383005,OUT019,1985,Small,Tier 1,Grocery Store,1187.0841686694077
FDA28,,low fat,0.021362975635535235,Soft Drinks,48.90967625304964,OUT035,2004,Small,Tier 2,Supermarket Type1,903.8142617275985
FDN29,7.059193825497113,Regular,0.00814103747306145,Seafood,186.55483087992837,OUT049,1999,Medium,Tier 1,Supermarket Type1,3255.245043804923
FDA33,20.192458927070298,LF,0.024431278683159932,Health and Hygiene,220.73862812586273,OUT045,2002,,Tier 2,Supermarket Type1,4188.843365690506
NCB84,14.10514080509813,reg,0.015478724591849284,Fruits and Vegetables,227.3387815436459,OUT046,1997,Small,Tier 1,Supermarket Type1,4074.3259324398573
FDA81,10.097655265381489,Regular,0.02014346710735864,Others,40.82877951889111,OUT017,2007,,Tier 2,Supermarket Type1,689.3671499601896
NCB47,6.8854871743811135,Low Fat,0.009637303121696666,Soft Drinks,195.59052369586044,OUT018,2009,Medium,Tier 3,Supermarket Type2,3749.024196412463
NCB98,10.810268014481897,Low Fat,0.034747082974623325,Seafood,219.0864707374876,OUT018,2009,Medium,Tier 3,Supermarket Type2,4026.070191199813
FDN34,16.4853405927698,Low Fat,0.041298710198665906,Breads,124.65018041943829,OUT019,1985,Small,Tier 1,Grocery Store,982.9260086812902
FDB27,11.0441650267853,Low Fat,0.10871076113937336,Seafood,159.1104203576888,OUT049,1999,Medium,Tier 1,Supermarket Type1,2768.751004009392
DRC75,,Low Fat,0.04643871429503344,Others,93.56727599307906,OUT049,1999,Medium,Tier 1,Supermarket Type1,1256.2377122775072
FDN89,14.315960620994893,Regular,0.015585147953388521,Hard Drinks,104.21692834007243,OUT010,1998,,Tier 3,Grocery Store,717.461563571997
FDB50,11.602971498231033,Low Fat,0.07988466992085372,Meat,149.38221362676873,OUT010,1998,,Tier 3,Grocery Store,1064.5384532852588
NCB42,7.318706012514969,low fat,0.021164966393136395,Breads,66.66864473293195,OUT046,1997,Small,Tier 1,Supermarket Type1,786.0076982468504
NCB42,7.117795834716766,Low Fat,0.08473281399037451,Health and Hygiene,118.44196801004175,OUT035,2004,Small,Tier 2,Supermarket Type1,2205.9484889466607
FDB57,16.526853833771533,LF,0.029379480631395442,Dairy,102.13881059880431,OUT027,1985,Medium,Tier 3,Supermarket Type3,3634.893496476113
NCB17,21.06942222377636,Low Fat,0.043252696979421766,Starchy Foods,87.22690636904396,OUT049,1999,Medium,Tier 1,Supermarket Type1,1735.8804944390934
FDN26,8.462599204654957,Regular,0.0420412000425944,Frozen Foods,145.19773534902254,OUT018,2009,Medium,Tier 3,Supermarket Type2,2871.4240222667872
FDA57,17.643526214135328,Regular,0.18691939977917346,Household,228.9278238968875,OUT013,1987,High,Tier 3,Supermarket Type1,4499.056981782355
NCB68,5.989313941657908,Regular,0.0,Household,88.17385478089768,OUT035,2004,Small,Tier 2,Supermarket Type1,1855.7744513440975
FDN95,10.986790623887089,Regular,0.16737735327977962,Frozen Foods,186.69631303566717,OUT027,1985,Medium,Tier 3,Supermarket Type3,7775.887369978545
FDB60,,Low Fat,0.04953061875847098,Others,90.98945874298916,OUT035,2004,Small,Tier 2,Supermarket Type1,2136.3355369627043
FDN36,9.06869806992606,Low Fat,0.3039236883083941,Others,64.53169508441164,OUT049,1999,Medium,Tier 1,Supermarket Type1,1140.6929151229635
DRC30,13.502833080742256,Low Fat,0.05107770897742826,Seafood,253.62396961917042,OUT035,2004,Small,Tier 2,Supermarket Type1,4511.442703043322
FDA37,19.504445270285526,Low Fat,0.06409245366125864,Hard Drinks,180.44363346564538,OUT046,1997,Small,Tier 1,Supermarket Type1,2940.019488685304
FDA78,20.555445360034888,Regular,0.08307555733728703,Seafood,55.68470968546898,OUT049,1999,Medium,Tier 1,Supermarket Type1,902.7804736692734
NCB70,6.20946822434184,Regular,0.10348728260486206,Breakfast,180.30398339149312,OUT017,2007,,Tier 2,Supermarket Type1,3199.911139724367
FDN13,9.12138087773144,LF,0.038955122621900894,Breakfast,72.61789570005362,OUT027,1985,Medium,Tier 3,Supermarket Type3,3259.9472153562688
FDN73,21.145276597801324,reg,0.06810298837253256,Health and Hygiene,240.51997020407387,OUT019,1985,Small,Tier 1,Grocery Store,1407.4288284121178
FDA26,9.097112976838144,Low Fat,0.0572524850470075,Breakfast,89.4031127395968,OUT046,1997,Small,Tier 1,Supermarket Type1,1676.7818888691513
NCB39,16.2760249694385,Low Fat,0.03136245584675175,Soft Drinks,221.40430030603306,OUT013,1987,High,Tier 3,Supermarket Type1,5081.06984964
FDB55,8.808712795796199,Regular,0.10315436863612608,Snack Foods,78.01007515976872,OUT018,2009,Medium,Tier 3,Supermarket Type2,1680.4022648917007
FDB15,10.55821508645765,Low Fat,0.012824910883757137,Seafood,162.75651746903418,OUT049,1999,Medium,Tier 1,Supermarket Type1,2414.2731218803915
FDN46,7.7517427942472565,Regular,0.010972713932843067,Snack Foods,246.30956794565228,OUT017,2007,,Tier 2,Supermarket Type1,3183.673225235271
FDB55,19.057103292851465,Regular,0.08000804750388794,Fruits and Vegetables,100.85661900001878,OUT049,1999,Medium,Tier 1,Supermarket Type1,1038.4503119520025
FDB69,19.505028984931567,Regular,0.06088141749720986,Seafood,50.209770724654675,OUT035,2004,Small,Tier 2,Supermarket Type1,1074.8122497945415
FDA72,9.547512634562336,reg,0.0,Household,161.41170491646042,OUT049,1999,Medium,Tier 1,Supermarket Type1,1132.996392031553
FDB94,18.50102701090071,low fat,0.060492833491985254,Starchy Foods,71.67001527076447,OUT045,2002,,Tier 2,Supermarket Type1,1138.3934669845248
FDA76,10.590108050628729,reg,0.08834962794484025,Baking Goods,202.88934878871248,OUT018,2009,Medium,Tier 3,Supermarket Type2,3212.9790902167083
DRC34,6.183330189217691,LF,0.01467476332704988,Snack Foods,170.4337921896873,OUT045,2002,,Tier 2,Supermarket Type1,3214.026580648932
DRC63,17.387298753965247,reg,0.05224952702679113,Breads,112.7445257355987,OUT045,2002,,Tier 2,Supermarket Type1,1875.7803416523952
DRC76,,Low Fat,0.10446371911504086,Soft Drinks,197.5341579520451,OUT027,1985,Medium,Tier 3,Supermarket Type3,4832.65701163214
DRC41,9.164501542402757,LF,0.03178404997200477,Health and Hygiene,87.29260216768294,OUT027,1985,Medium,Tier 3,Supermarket Type3,3571.796668340277
DRC36,8.8009955887014,Low Fat,0.05088102619889935,Soft Drinks,247.4206286219712,OUT046,1997,Small,Tier 1,Supermarket Type1,4975.970023406773
DRC11,21.085597298199463,Regular,0.0049074749065308055,Others,112.86557573104834,OUT017,2007,,Tier 2,Supermarket Type1,1959.6924829704371
DRC26,,Low Fat,0.10648307229541089,Breads,211.06047513057064,OUT027,1985,Medium,Tier 3,Supermarket Type3,6076.447460864361
FDA18,18.266571599354002,Low Fat,0.09541529594503384,Soft Drinks,92.01056512375334,OUT013,1987,High,Tier 3,Supermarket Type1,1785.8040636522242
FDN57,6.676301046908316,Low Fat,0.03655643316191072,Breads,199.6987815829055,OUT049,1999,Medium,Tier 1,Supermarket Type1,3489.6622957718946
FDB51,,Low Fat,0.007618779401793128,Starchy Foods,38.44094211696872,OUT018,2009,Medium,Tier 3,Supermarket Type2,682.2506548156443
DRC59,8.14718376045587,Low Fat,0.06479899464784976,Others,100.74221686371104,OUT019,1985,Small,Tier 1,Grocery Store,613.0642283998997
FDA33,,Low Fat,0.0510554825412982,Household,52.92210262848441,OUT017,2007,,Tier 2,Supermarket Type1,643.7312081920104
FDB69,5.385516195358381,LF,0.15115490429313128,Baking Goods,137.4880432918338,OUT019,1985,Small,Tier 1,Grocery Store,484.6817947331273
DRC16,10.486354220524142,LF,0.01969429028986489,Others,133.68548651118692,OUT049,1999,Medium,Tier 1,Supermarket Type1,2168.1492384153917
FDA45,11.787013293238157,Regular,0.0019716303100577913,Hard Drinks,115.72592862707005,OUT035,2004,Small,Tier 2,Supermarket Type1,2566.214163093278
FDB29,,LF,0.017641296297292528,Others,262.5555932746454,OUT045,2002,,Tier 2,Supermarket Type1,3708.4012982726485
FDA17,17.525787906068786,Regular,0.033507220642074995,Baking Goods,88.6053691216472,OUT027,1985,Medium,Tier 3,Supermarket Type3,4100.903438457039
NCB96,10.874866464092023,reg,0.010136685241342619,Meat,217.6880657291036,OUT045,2002,,Tier 2,Supermarket Type1,4399.749966572314
NCB75,,Regular,0.23393143537481806,Canned,136.59752532768647,OUT049,1999,Medium,Tier 1,Supermarket Type1,3616.508135862206
FDN34,18.705117781331417,Regular,0.01509188911507238,Others,110.01527300525578,OUT018,2009,Medium,Tier 3,Supermarket Type2,2086.0099234672043
DRC72,4.809393066567896,LF,0.06796630184170781,Fruits and Vegetables,79.01814206365032,OUT017,2007,,Tier 2,Supermarket Type1,1264.596134178877
FDB31,18.137027691916025,Low Fat,0.03632056258830897,Snack Foods,180.4833192266728,OUT045,2002,,Tier 2,Supermarket Type1,2446.786917608384
DRC67,20.597232430814717,Low Fat,0.04860079860379791,Snack Foods,109.7480384138929,OUT017,2007,,Tier 2,Supermarket Type1,2191.5994586274683
FDA61,5.04509686523091,Regular,0.16189786777815326,Others,222.84882727227213,OUT045,2002,,Tier 2,Supermarket Type1,3707.1275869622004
